Group size,Missing Data,Imputation,MSE,MSE_chance_level,avg(std),avg(std)_chance_level,Correlation,avg(std)_prediction,MSE_imputation,avg(std)_imputation,Parameter incorrectly inferred(GFA),Incorrect parameter Inferred(imputation)
2,0,FALSE,0.63,2.79,0.090,0.435,,,,,None,
2,20,TRUE,0.64,2.84,0.14,0.354,0.666,0.046,0.66,0.146,None,Tau
2,40,TRUE,0.66,2.97,0.124,0.427,0.650,0.049,0.72,0.137,None,Tau
2,60,TRUE,0.63,2.87,0.149,0.31,0.686,0.055,0.794,0.170,None,Tau
2,80,TRUE,0.59,2.80,0.126,0.408,0.658,0.080,0.859,0.134,ALL,ALL
3,0,FALSE,0.63,1.97,0.096,0.197,,,,,,
3,20,TRUE,0.58,1.74,0.673,0.080,0.673,0.080,0.589,0.115,None,Tau
3,40,TRUE,0.60,1.79,0.073,0.290,0.689,0.036,0.655,0.075,None,Tau
3,60,TRUE,0.56,1.89,0.105,0.197,0.726,0.062,0.723,0.115,None,ALL
3,80,TRUE,0.59,1.71,0.131,0.199,0.669,0.076,0.890,0.126,ALL,ALL
4,0,FALSE,0.61,2.84,0.116,0.292,,,,,,
4,20,TRUE,0.64,2.86,0.116,0.592,0.689,0.062,0.658,0.117,None,Tau
4,40,TRUE,0.64,2.73,0.130,0.461,0.711,0.056,0.708,0.129,None,Tau
4,60,TRUE,0.61,2.73,0.115,0.370,0.725,0.041,0.767,0.123,None,Tau
4,80,TRUE,0.66,2.54,0.124,0.242,0.641,0.052,0.937,0.156,ALL,ALL
5,0,FALSE,0.67,1.81,0.111,0.313,,,,,,
5,20,TRUE,0.64,1.81,0.125,0.183,0.698,0.049,0.659,0.121,None,Tau
5,40,TRUE,0.62,1.62,0.052,0.210,0.739,0.037,0.682,0.050,None,Tau
5,60,TRUE,0.68,1.85,0.080,0.272,0.717,0.027,0.806,0.092,None,Tau
5,80,TRUE,0.65,1.74,0.090,0.440,0.627,0.067,0.939,0.111,ALL,ALL
6,0,TRUE,0.70,2.96,0.100,0.299,,,,,,
6,20,TRUE,0.74,2.77,0.127,0.284,0.690,0.039,0.749,0.132,None,Tau
6,40,TRUE,0.75,2.79,0.118,0.210,0.712,0.020,0.806,0.115,Sometimes Z is incorrect,Tau
6,60,TRUE,0.65,2.69,0.107,0.169,0.741,0.046,0.791,0.110,None,ALL
6,80,TRUE,0.69,2.81,0.077,0.330,0.634,0.055,0.990,0.101,ALL,ALL
7,0,FALSE,0.52,1.71,0.091,0.320,,,,,,
7,20,TRUE,0.63,1.66,0.156,0.235,0.715,0.046,0.639,0.157,None,Tau
7,40,TRUE,0.63,1.87,0.102,0.456,0.728,0.045,0.692,0.097,None,Tau
7,60,TRUE,0.58,1.87,0.088,0.385,0.761,0.041,0.723,0.095,None,ALL
7,80,TRUE,0.60,1.73,0.109,0.310,0.645,0.046,0.871,0.139,ALL,ALL
8,0,FALSE,0.66,1.76,0.118,0.306,,,,,,
8,20,TRUE,0.63,1.77,0.162,0.347,0.743,0.030,0.643,0.164,None,Tau
8,40,TRUE,0.67,1.73,0.211,0.179,0.751,0.047,0.720,0.201,None,Tau
8,60,TRUE,0.69,1.80,0.084,0.319,0.765,0.034,0.800,0.081,None,ALL
8,80,TRUE,0.61,1.85,0.100,0.456,0.672,0.052,0.933,0.165,ALL,ALL
